Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
12140931,9,6,334,3664,37.11111111,610.6666667,329.2992934,1.235490095,11914164,19,12140931,1517616.375,4200923.544,11914164,67,161697,32339.4,46705.6244,104919,19,0,0,0,0,296,200,0.741294057,0.494196038,0,1448,249.875,501.3473679,251349.1833,0,0,0,1,0,0,0,0,0,266.5333333,37.11111111,610.6666667,296,0,0,0,0,0,0,9,334,6,3664,65535,119,2,32,0,0,0,0,0,0,0,0
418882,102,203,829,279509,8.12745098,1376.891626,669252.9161,728.1286854,76788,4,413474,4093.80198,11950.77834,83738,5,382119,1891.678218,7744.797347,80599,4,0,0,0,0,3272,6504,243.5053309,484.6233545,0,1418,916.1372549,676.644087,457847.2204,0,0,0,1,0,0,0,0,1,919.1409836,8.12745098,1376.891626,3272,0,0,0,0,0,0,102,829,203,279509,65535,175,3,32,0,0,0,0,0,0,0,0
45,2,0,55,0,27.5,0,1222222.222,44444.44444,45,45,45,45,0,45,45,0,0,0,0,0,1,0,0,0,64,0,44444.44444,0,0,55,36.66666667,31.75426481,1008.333333,0,1,0,0,1,0,0,0,0,55,27.5,0,64,0,0,0,0,0,0,2,55,0,0,179,-1,0,32,0,0,0,0,0,0,0,0
541699,1,1,39,225,39,225,487.355524,3.692087303,541699,541699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1.846043652,1.846043652,39,225,101,107.3871501,11532,0,0,0,0,0,0,0,0,1,151.5,39,225,32,0,0,0,0,0,0,1,39,1,225,-1,-1,0,32,0,0,0,0,0,0,0,0
7310795,3,0,0,0,0,0,0,0.410352089,7280174,30621,7310795,3655397.5,5126208.087,7280174,30621,0,0,0,0,0,0,0,0,0,60,0,0.410352089,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,0,0,0,0,0,0,3,0,0,0,1552,-1,0,20,0,0,0,0,0,0,0,0
7722,2,0,0,0,0,0,0,259.000259,7722,7722,7722,7722,0,7722,7722,0,0,0,0,0,0,0,0,0,64,0,259.000259,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,1546,-1,0,32,0,0,0,0,0,0,0,0
2276,1,1,0,0,0,0,0,878.7346221,2276,2276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,439.3673111,439.3673111,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,349,1386,0,32,0,0,0,0,0,0,0,0
58772785,5,6,1496,1178,299.2,196.3333333,45.49724843,0.187161456,58541799,45,58772785,14693196.25,29232450.43,58541799,1617,58730561,11746112.2,26186262.38,58589480,45,1,0,0,0,160,192,0.085073389,0.102088067,0,748,285.1666667,336.2998752,113097.6061,0,1,0,0,1,0,0,0,1,311.0909091,299.2,196.3333333,160,0,0,0,0,0,0,5,1496,6,1178,1947,469,1,32,117045,0,117045,117045,58541799,0,58541799,58541799
18640016,6,4,568,152,94.66666667,38,38.62657629,0.536480226,18402925,120,18640016,3728003.2,8260536.388,18504777,120,174851,58283.66667,53623.86984,106143,330,0,0,0,0,140,92,0.321888136,0.21459209,0,517,65.45454545,156.8013799,24586.67273,0,0,0,1,0,0,0,0,0,72,94.66666667,38,140,0,0,0,0,0,0,6,568,4,152,65535,31,2,20,0,0,0,0,0,0,0,0
49629,1,1,0,0,0,0,0,40.29901872,49629,49629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.14950936,20.14950936,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1595,1029,0,32,0,0,0,0,0,0,0,0
36757,1,1,0,0,0,0,0,54.41140463,36757,36757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.20570232,27.20570232,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1593,179,0,32,0,0,0,0,0,0,0,0
547068,3,4,550,614,183.3333333,153.5,2127.706245,12.79548429,271088,20,275904,137952,191483.1021,273351,2553,276420,92140,159525.3445,276344,20,0,0,0,0,104,136,5.483778982,7.311705309,0,614,145.5,269.9560811,72876.28571,0,0,0,1,0,0,0,0,1,166.2857143,183.3333333,153.5,104,0,0,0,0,0,0,3,550,4,614,65535,400,1,32,0,0,0,0,0,0,0,0
